公司代號,公司名稱,出表日期,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月,備註
6757,台灣虎航-創,1131117,3.03193298581723,1264210,6.749823796489043,1220180,1302540,航運業,35.73663499077066,10269428,13939376,11310,-
6761,穩得,1131211,3.327633439639309,169009,7.673857954090032,162187,174633,電子零組件業,15.726457728579737,1606026,1858597,11311,-
6762,達亞,1131211,15.026806896938222,53531,98.36667633130376,31041,61575,生技醫療業,8.66452841493536,477337,518696,11311,去年同期因廠區搬遷致營收偏低。
6763,綠界科技*,1131211,1.8564860618052728,137464,1.585274720491036,137831,140016,數位雲端,2.8264873995268185,1412566,1452492,11311,-
6767,台微醫,1131211,5.051784032985942,30801,31.17525438845421,24667,32357,生技醫療業,17.56216593074599,258180,303522,11311,-
6768,志強-KY,1131117,61.180479439401964,1299184,61.56449830876725,1296096,2094031,運動休閒,33.60476840913265,11476532,15333194,11310,品牌銷售增加，訂單增加，營收增加
6770,力積電,1131117,0.35100755063649286,3900201,1.7406347399094864,3846930,3913891,半導體業,2.1791371127221915,36708016,37507934,11310,-
6771,平和環保-創,1131117,-2.600445348049182,51645,-2.3243169770286802,51499,50302,綠能環保,3.1848923917788396,501681,517659,11310,-
6776,展碁國際,1131117,6.932283364825351,2368325,22.6631793083406,2064600,2532504,電子通路業,9.494076170573159,18860013,20650597,11310,-
6781,AES-KY,1131117,10.42788936679612,862092,17.489161140792245,810279,951990,電子零組件業,-6.664065557525005,8355410,7798600,11310,-
6782,視陽,1131117,25.601643955817075,309984,78.48727399420545,218136,389345,生技醫療業,63.320454304874936,1927164,3147453,11310,主係去年同期受客戶庫存調整影響，使得基期較低。
6785,昱展新藥,1131211,,0,,0,0,生技醫療業,627.125,800,5817,11311,無
6788,華景電,1131211,-9.530690121654974,206239,66.56668184293456,112017,186583,半導體業,55.055753254622545,1259209,1952476,11311,本月合併營收相較於去年同期有所成長，主要係因市場需求較去年同期成長所致。
6789,采鈺,1131117,0.27249315165645693,902408,64.18990764094282,551110,904867,半導體業,39.10229318240096,5908165,8218393,11310,因客戶需求增加所致。
6790,永豐實,1131117,-6.5363541017927025,985886,3.584472755601371,889559,921445,造紙工業,7.474048147899921,8445062,9076250,11310,-
6791,虎門科技,1131211,-15.017145559891214,59199,10.111843113222001,45689,50309,資訊服務業,13.99311327475659,522164,595231,11311,-
6792,詠業,1131117,4.745485064816875,98894,-13.095967180382056,119197,103587,通信網路業,-13.304716394897135,1203716,1043565,11310,-
6794,向榮生技-創,1131117,-55.51782682512734,5890,158.12807881773398,1015,2620,生技醫療業,34.68191646750882,17574,23669,11310,本月營業收入較去年同期增加，主係勞務收入增加所致。
6796,晉弘,1131117,42.49266001174398,34060,5.090727989259885,46182,48533,生技醫療業,-14.062272778684418,433223,372302,11310,-
6799,來頡,1131117,6.898386238694804,73307,-15.642391947898165,92895,78364,半導體業,-10.236825411742593,851260,764118,11310,-
6803,崑鼎,1131211,-1.6827546708137757,705391,18.806896244548067,583738,693521,綠能環保,9.834493855055575,7046687,7739693,11311,-
6804,明係,1131211,72.30865177457761,88190,-36.89646151099004,240809,151959,運動休閒,-40.50236628137319,3086911,1836639,11311,-
6805,富世達,1131117,18.00229201399062,771374,54.13854941214124,590533,910239,電子零組件業,42.011633543383425,4456080,6328152,11310,較去年同期客戶需求增加
6806,森崴能源,1131117,216.40867068238913,951759,123.1474146982697,1349533,3011448,綠能環保,76.42110713414216,7331379,12934100,11310,主要係因離岸之主要工程開始施作認列收入所致
6807,峰源-KY,1131117,0.15436969417401086,494268,55.78574036077089,317764,495031,居家生活,33.087992424715026,3045694,4053453,11310,主要產品熱銷訂單增加
6811,宏碁資訊,1131211,-33.5722306084965,672395,37.62347866276383,324550,446657,數位雲端,16.332486707392018,6658588,7746101,11311,-
6821,聯寶,1131211,-10.013241481034513,59661,12.475907148244364,47732,53687,電子零組件業,2.537985446766797,503943,516733,11311,-
6823,濾能,1131211,16.51628834647165,31587,6.526961706561695,34549,36804,半導體業,-12.010154927743784,445498,391993,11311,-
6829,千附精密,1131211,71.98647321915567,100837,15.063494380382426,150722,173426,電機機械,6.9920290756854895,1253556,1341205,11311,-
6830,汎銓,1131117,-3.466625025525219,166502,12.380526209071268,143023,160730,其他電子業,4.4314656123492036,1554497,1623384,11310,-
6834,天二科技,1131117,-12.521165078096761,105126,26.418310536806654,72745,91963,電子零組件業,29.60171862006401,793660,1028597,11310,-
6835,圓裕,1131117,4.402512495766321,194866,10.296987834233297,184452,203445,電子零組件業,11.409598584540529,1808600,2014954,11310,-
6838,台新藥,1131117,-19.50150011539349,4333,,0,3488,生技醫療業,352.1654048505069,31172,140949,11310,APP13007銷貨收入
6840,東研信超,1131211,-7.0196164624429915,72796,7.283130715949977,63091,67686,其他電子業,20.94520024039775,640605,774781,11311,-
6841,長佳智能,1131211,12.204724409448819,34544,146.80038204393506,15705,38760,生技醫療業,312.0658931612086,75759,312177,11311,主要由於專案收入增加
6843,進典,1131211,-9.011271747120803,65296,-28.646233666410453,83264,59412,電機機械,-20.622424538918015,864651,686339,11311,-
6844,諾貝兒,1131211,1.0732881778757597,275788,2.5219665233494304,271891,278748,生技醫療業,-6.205633240946253,3303853,3098828,11311,-
6846,綠茵,1131211,24.069238668035794,68170,3.240848113472407,81923,84578,食品工業,8.756354203711064,717045,779832,11311,-
6854,錼創科技-KY創,1131117,6.318633907080249,220190,176.4332187939117,84687,234103,半導體業,64.60172695067625,782767,1288448,11310,本月及本年累計營收增加主要係因客戶需求增加所致。
6855,數泓科,1131211,39.50299401197605,50100,27.1577759988356,54964,69891,其他電子業,28.31749089700967,448479,575477,11311,-
6856,鑫傳,1131211,3.298641034139874,75425,98.25190839694656,39300,77913,文化創意業,54.38049388434857,362676,559901,11311,本公司持美雅國際企業(股)公司58.48%股權，本月合併營收包含美雅國際企業(股)公司。
6859,伯特光,1131211,42.92036304779856,48809,93.78298794377466,35998,69758,光電業,-17.808141954015273,745030,612354,11311,主係去年同期受傳統淡季提前及部分產品終端市場需求不如預期，訂單大幅減少，惟本期市場需求增加，訂單較去年同期成長所致。
6861,睿生光電,1131117,-3.260543523906653,166690,-4.666327713008726,169148,161255,生技醫療業,7.456853772422384,1501290,1613239,11310,-
6862,三集瑞-KY,1131117,-8.994362452575709,206118,29.727168989245826,144595,187579,電子零組件業,41.18731031332207,1295887,1829628,11310,-
6863,永道-KY,1131117,-16.375352849222327,444595,35.694603107401335,273991,371791,通信網路業,71.93999437213941,2089604,3592865,11310,主係現有客戶訂單提升，出貨數量增加，較去年同期增加。
